"","e","d","m","mean","chance"
"1",NA,NA,NA,NA,NA
"2",0.002,0.01,2602.05999132796,0.00131499999999996,0.168
"3",0.002,0.01,3903.08998699194,0.000944999999999974,0.091
"4",0.002,0.01,5204.11998265593,0.000720999999999972,0.0669999999999999
"5",0.002,0.01,7806.17997398389,0.000481999999999982,0.019
"6",0.002,0.01,10408.2399653119,0.000363000000000002,0.013
"7",0.005,0.01,1040.82399653119,0.00306399999999996,0.162
"8",0.005,0.01,1561.23599479678,0.00224100000000005,0.076
"9",0.005,0.01,2081.64799306237,0.00167600000000001,0.024
"10",0.005,0.01,3122.47198959356,0.00113700000000005,0.00800000000000001
"11",0.005,0.01,4163.29598612474,0.000939000000000023,0.003
"12",0.008,0.01,650.514997831991,0.00494799999999995,0.165
"13",0.008,0.01,975.772496747986,0.00338400000000005,0.051
"14",0.008,0.01,1301.02999566398,0.00270599999999999,0.024
"15",0.008,0.01,1951.54499349597,0.00171100000000002,0
"16",0.008,0.01,2602.05999132796,0.00135300000000005,0.001
"17",0.011,0.01,473.101816605084,0.00614700000000001,0.132
"18",0.011,0.01,709.652724907626,0.00464200000000003,0.051
"19",0.011,0.01,946.203633210168,0.003409,0.02
"20",0.011,0.01,1419.30544981525,0.00239900000000004,0.001
"21",0.011,0.01,1892.40726642034,0.00182599999999999,0
"22",0.014,0.01,371.722855903995,0.00765499999999997,0.129
"23",0.014,0.01,557.584283855992,0.00556299999999998,0.042
"24",0.014,0.01,743.445711807989,0.00412299999999999,0.011
"25",0.014,0.01,1115.16856771198,0.00289099999999998,0.002
"26",0.014,0.01,1486.89142361598,0.00243099999999996,0.001
"27",0.017,0.01,306.124704862113,0.00855000000000006,0.103
"28",0.017,0.01,459.18705729317,0.00652200000000003,0.028
"29",0.017,0.01,612.249409724227,0.00523600000000002,0.01
"30",0.017,0.01,918.37411458634,0.00359100000000001,0
"31",0.017,0.01,1224.49881944845,0.00277099999999997,0
"32",0.02,0.01,260.205999132796,0.00955899999999998,0.103
"33",0.02,0.01,390.308998699194,0.007243,0.029
"34",0.02,0.01,520.411998265593,0.00572600000000001,0.00800000000000001
"35",0.02,0.01,780.617997398389,0.00415699999999997,0.001
"36",0.02,0.01,1040.82399653119,0.00311399999999995,0
"37",0.023,0.01,226.266086202432,0.011263,0.094
"38",0.023,0.01,339.399129303647,0.00778900000000005,0.017
"39",0.023,0.01,452.532172404863,0.00606899999999999,0.005
"40",0.023,0.01,678.798258607295,0.00478900000000004,0
"41",0.023,0.01,905.064344809726,0.003548,0
"42",0.026,0.01,200.158460871382,0.0116810000000001,0.082
"43",0.026,0.01,300.237691307073,0.00952799999999998,0.022
"44",0.026,0.01,400.316921742764,0.00702000000000003,0.005
"45",0.026,0.01,600.475382614145,0.00487499999999996,0
"46",0.026,0.01,800.633843485527,0.00390000000000001,0
"47",0.029,0.01,179.452413195032,0.013335,0.084
"48",0.029,0.01,269.178619792548,0.010054,0.024
"49",0.029,0.01,358.904826390064,0.00808500000000001,0.00900000000000001
"50",0.029,0.01,538.357239585096,0.00536599999999998,0.001
"51",0.029,0.01,717.809652780128,0.00445200000000001,0
"52",0.032,0.01,162.628749457998,0.014104,0.079
"53",0.032,0.01,243.943124186997,0.010696,0.014
"54",0.032,0.01,325.257498915995,0.00878999999999996,0.00800000000000001
"55",0.032,0.01,487.886248373993,0.00607500000000005,0.001
"56",0.032,0.01,650.514997831991,0.00468100000000005,0
"57",0.035,0.01,148.689142361598,0.015938,0.084
"58",0.035,0.01,223.033713542397,0.011539,0.014
"59",0.035,0.01,297.378284723196,0.00952399999999998,0.00600000000000001
"60",0.035,0.01,446.067427084794,0.00644500000000003,0
"61",0.035,0.01,594.756569446391,0.00524900000000006,0
"62",0.038,0.01,136.950525859366,0.016665,0.087
"63",0.038,0.01,205.42578878905,0.011491,0.01
"64",0.038,0.01,273.901051718733,0.00942100000000001,0.003
"65",0.038,0.01,410.851577578099,0.00738800000000006,0
"66",0.038,0.01,547.802103437466,0.00562399999999996,0
"67",0.041,0.01,126.929755674535,0.0172100000000001,0.073
"68",0.041,0.01,190.394633511802,0.012892,0.026
"69",0.041,0.01,253.859511349069,0.010601,0.00700000000000001
"70",0.041,0.01,380.789267023604,0.00748800000000005,0
"71",0.041,0.01,507.719022698139,0.00583299999999998,0
"72",0.044,0.01,118.275454151271,0.018057,0.055
"73",0.044,0.01,177.413181226907,0.0137120000000001,0.011
"74",0.044,0.01,236.550908302542,0.0109900000000001,0.003
"75",0.044,0.01,354.826362453813,0.00783599999999995,0
"76",0.044,0.01,473.101816605084,0.00623200000000002,0
"77",0.047,0.01,110.725957077786,0.018611,0.0570000000000001
"78",0.047,0.01,166.088935616678,0.013649,0.014
"79",0.047,0.01,221.451914155571,0.0114,0.001
"80",0.047,0.01,332.177871233357,0.00841999999999998,0
"81",0.047,0.01,442.903828311142,0.00688,0
"82",0.05,0.01,104.082399653118,0.019228,0.054
"83",0.05,0.01,156.123599479678,0.014387,0.012
"84",0.05,0.01,208.164799306237,0.012022,0.001
"85",0.05,0.01,312.247198959355,0.00880000000000003,0
"86",0.05,0.01,416.329598612474,0.00688800000000001,0
